;liste_acteurs;nb_comedie;nb_drame
6350;Edy Biagetti;0;1
6351;Dragos Niamtu;1;0
6352;Alida Tarallo;0;2
6353;Yull Núñez;0;1
6354;Hucheng Li;0;1
6355;Iran Outari;0;1
6356;Andrés García;0;2
6357;Linda Blair;1;0
6358;Matthias Bundschuh;0;2
6359;Tara Quinn;0;2
6360;Misa Shimizu;1;2
6361;Sam Richardson;2;0
6362;Shaun Thomas;0;2
6363;Henning Kober;0;3
6364;Ty Simpkins;1;1
6365;Giada Arena;0;1
6366;Robert Liensol;0;1
6367;Sophie Okonedo;2;8
6368;Nico Toffoli;1;0
6369;Hugh Dane;0;1
6370;James C. Burns;0;2
6371;Maris Stella Morrow;0;1
6372;Raimondo Vianello;36;1
6373;Lee Armstrong;0;1
6374;Sabrina Tellico;1;0
6375;Michael Zorek;1;0
6376;Kitten Natividad;1;0
6377;Deogratias Huerta;1;0
6378;Heather Prete;1;0
6379;Sinisa Labrovic;1;0
6380;Frances McDormand;8;7
6381;Jenny Schily;0;2
6382;Austin Stowell;0;2
6383;Timofey Glazkov;0;1
6384;Bianca Ceravolo;1;0
6385;Jesse Bostick;1;0
6386;Enrico Maria Salerno;15;10
6387;Timo Hübsch;0;2
6388;Olesya Rulin;2;0
6389;Li Qiang;0;2
6390;Sofia Kokkoli;0;2
6391;Jon Seda;1;1
6392;Bernard-Pierre Donnadieu;0;2
6393;James Coco;3;0
6394;Gi Ju-bong;1;0
6395;Jadea Mercedes Diaz;0;1
6396;Camryn Manheim;3;0
6397;Victor Webster;1;0
6398;Lea van Acken;0;2
6399;Ali Akay;1;0
6400;Clara Wong;0;1
6401;Cleo Despucches;0;2
6402;Leo Bill;0;1
6403;Lionel Belmore;1;0
6404;Gavin Park;0;1
6405;Samantha Isler;0;1
6406;Carlos Alazraqui;1;0
6407;Theo Rossi;0;2
6408;Alfred Balthoff;1;0
6409;Luisa Pepita;0;1
6410;Gary Chalk;2;0
6411;Anna Baldaccini;1;0
6412;Christy Carlson Romano;1;2
6413;Stephen Rannazzisi;2;0
6414;Marques Houston;1;0
6415;Trevor St. John;0;1
6416;Lisa Lindgren;1;0
6417;Birger Malmstein;0;3
6418;Paola Pitagora;2;3
6419;Marco Zapata;0;1
6420;Aïssatou Diop;1;0
6421;Amy Wren;0;3
6422;Tina Lattanzi;2;4
6423;Baptiste Isaia;0;1
6424;Wang Jingchun;0;2
6425;Marilyn Kagan;0;1
6426;Alberto Rabagliati;3;0
6427;Alla Rouba;0;1
6428;Anne Ramsay;0;1
6429;Mariella Lotti;2;8
6430;Jacopo Francesco Cavallaro;1;0
6431;Graham Robertson;0;1
6432;Matt McFarland;1;0
6433;Pat Henning;0;1
6434;Maria Junghietu;0;1
6435;Janek Rieke;1;1
6436;Chun-shun Lo;0;1
6437;Kevin Daniels;2;0
6438;Ferruccio Amendola;5;0
6439;Sharon Cuneta;0;1
6440;Jorge Jellinek;0;1
6441;Ruzzo Simone;1;0
6442;Igor Sergeyev;0;1
6443;Clémentine Poidatz;0;2
6444;Manish Dayal;1;0
6445;Dick Foran;1;0
6446;Rob Estes;0;2
6447;Rik Young;1;0
6448;Mike Tyson;1;0
6449;Carlo Colombaioni;0;1
6450;François Lalande;1;0
6451;Audra McDonald;0;1
6452;Tomas von Brömssen;0;2
6453;Ernie Alexander;1;0
6454;Aleksey Serebryakov;1;1
6455;Franca Valeri;14;0
6456;Félix Bossuet;0;2
6457;Laura Linguiti;1;0
6458;Nathan Cavaleri;1;0
6459;Giulia Elettra Gorietti;5;2
6460;Carla-Marie Santerre;0;1
6461;Claudia Ramirez;1;0
6462;Sonia Moreno;0;1
6463;Joël Dupuch;1;0
6464;Dario Cantarelli;2;3
6465;Stefan Marling;0;1
6466;Maggie Q;1;0
6467;Jean-Claude Fourneau;0;1
6468;Gustavo De Filpo;1;0
6469;George Clayton Johnson;0;1
6470;Pablo Rivero;0;1
6471;Laura Allen;0;1
6472;Alice Manfredi;1;0
6473;Henry Nemo;1;0
6474;Laura Devon;0;2
6475;Elliott Reid;1;0
6476;William Bradford Borden;0;2
6477;Marissa Triandafyllidou;0;3
6478;Karen Sharpe;1;0
6479;Jake McDorman;2;0
6480;Eitarô Ozawa;0;2
6481;Louis Jouvet;1;4
6482;Tom Arnold;8;1
6483;Omri Rose;0;1
6484;Kit Le Fever;1;0
6485;Antonio Provasio;1;0
6486;Nickson Cheng;0;1
6487;Earl Holliman;2;1
6488;Himad Beg;1;0
6489;Maria Petar;0;1
6490;Jackie Gleason;3;1
6491;Brian Smith;1;0
6492;Gianni Morandi;4;0
6493;Edwige Maul;1;0
6494;Aliocha Reinert;0;1
6495;Alia Shawkat;6;2
6496;Michael Denison;1;0
6497;Sasa Petrovic;1;0
6498;Magda Al Khattib;1;0
6499;Nade Dieu;1;1
6500;Miranda Nation;0;1
6501;Betsy Aidem;0;2
6502;René Jacobs;0;2
6503;Ian Anthony Dale;1;0
6504;Pernilla Allwin;0;3
6505;Tamara Pjevic;0;2
6506;Jeremy Akerman;1;0
6507;Jole Ferrari;1;0
6508;Mario Gallina;1;2
6509;Giorgia Agata;1;0
6510;Emmy Rossum;0;2
6511;Son Kyung-won;0;1
6512;Aribert Mog;0;1
6513;Richard Jeni;1;0
6514;Madeleine Sherwood;0;1
6515;Chiara Pavoni;0;1
6516;Gang Xu;1;0
6517;Sonny Sands;1;0
6518;Rasmus Bjerg;1;0
6519;Jorge Cerruti;1;0
6520;Isaac Hayes;2;0
6521;Hervé Piron;1;0
6522;Laura Esquivel;1;0
6523;Elizabeth Spriggs;0;2
6524;Sayoko Amano;0;1
6525;Philip Alford;0;1
6526;Massimo Nicolini;1;0
6527;Jon Bernthal;2;5
6528;Giovanni Garofalo;1;0
6529;Haruko Kato;0;1
6530;Christopher Tyson;0;2
6531;Sun Yue;0;1
6532;Danny A. Abeckaser;1;0
6533;Barry Foster;0;4
6534;Massimo De Matteo;0;1
6535;Juan José Menéndez;1;0
6536;Laetitia Colombani;1;0
6537;Petra Hartung;1;0
6538;Marcello Mazzarella;1;13
6539;Philip Rayburn Smith;1;0
6540;Paul Barber;1;0
6541;Daniel Sunjata;2;0
6542;Joss Ackland;5;1
6543;Brittany Ishibashi;1;0
6544;Lucas Bryant;0;1
6545;Barbara Foria;2;0
6546;Fabio Camilli;1;4
6547;Jonathan Scarfe;0;2
6548;Angel de Andrés López;1;0
6549;Sophie Fatu;1;0
6550;Carmen Miranda;1;0
6551;Vincent Spano;4;3
6552;Judie Aronson;1;0
6553;Regina King;8;2
6554;Billie Blain;0;1
6555;Vito Sanz;0;1
6556;Yuya Yagira;0;1
6557;Sam Buchanan;0;1
6558;Marina Hands;1;0
6559;Dave Engfer;1;0
6560;Samir Soni;1;0
6561;Jenny Tamburi;4;5
6562;Ludivine Sagnier;6;6
6563;Michel Subor;1;8
6564;Christian Friedel;0;5
6565;Frank Overton;0;1
6566;John McGiver;4;0
6567;Alvaro Piccardi;1;0
6568;Isabelle Adriani;2;1
6569;Flora Saggese;0;1
6570;Duckmoon Choi;0;1
6571;Rosemarie Stevenson;0;2
6572;Padre Pace;0;1
6573;David Novotny;0;3
6574;Kate Linder;0;1
6575;Steve Ubels;0;2
6576;Brigitte Tilg;0;1
6577;Lowri Izzard;1;0
6578;Camilla Luna;0;1
6579;Aleksandar Djurica;1;0
6580;Rebecca Romijn;3;0
6581;Michele Savoia;2;0
6582;Sophie Schneider;1;0
6583;Stig Järrel;0;1
6584;Andy Dick;5;0
6585;Michael Irving;1;0
6586;Giulia Gabriele;0;1
6587;Allyson Sereboff;1;0
6588;Christian Slater;7;6
6589;Akira Tani;0;1
6590;Daniel Westwood;0;1
6591;Jennifer Rose Locke;0;1
6592;Susi Butti;1;0
6593;Timothy Carhart;0;2
6594;Toyo Fujita;0;1
6595;Miriam Karlkvist;0;1
6596;Joanna Lumley;2;2
6597;Enrico Antognelli;1;0
6598;Ângela Pinto;0;2
6599;Jasna Zalica;1;0
6600;Nadège Ouedraogo;0;1
6601;Stephen Tompkinson;0;1
6602;Nelson Machado;0;2
6603;Lucie Englisch;1;0
6604;Tony Yalda;1;0
6605;Bárbara Palladino;0;1
6606;Gabriella Lepori;1;0
6607;Jack Scalia;2;5
6608;Christine Begay;1;0
6609;John Patrick Jordan;1;0
6610;Mary-Colin Chisholm;1;0
6611;Busy Philipps;2;0
6612;Bronte Palare;0;1
6613;Nadège Beausson-Diagne;2;1
6614;Tenoch Huerta Mejía;0;1
6615;Henry Oscar;1;0
6616;Ellen Vogel;0;1
6617;Vicky Ludovici;2;0
6618;David Verbaas;0;3
6619;Arnd Klawitter;0;2
6620;Fanny Viner;0;1
6621;Elodie Treccani;0;2
6622;Nick Pagano;0;5
6623;Joaquín Cosio;0;2
6624;Nazmi Quirix;0;1
6625;Charlie Hall;2;0
6626;Gabriella Saitta;1;0
6627;Jon Gries;5;1
6628;Patrick Stewart;4;0
6629;Jonathan Whittaker;1;0
6630;Genevieve O'Neal;0;1
6631;April Billingsley;1;0
6632;Yousef 'Joe' Sweid;1;0
6633;Theo Trebs;0;3
6634;Michalis Iatropoulos;0;1
6635;Randi Brough;1;0
6636;Alban Lenoir;3;0
6637;Abigail Winter;0;1
6638;Pamela Roylance;0;4
6639;Steve Carell;12;3
6640;Judy Davis;7;5
6641;Giacomo Baessato;1;0
6642;Claude Nollier;0;2
6643;Robert Naylor;0;1
6644;Quentin Tarantino;2;0
6645;Cristian Ortega;0;1
6646;Schuyler Fisk;1;3
6647;T.I.;1;0
6648;Joanne Kelly;0;1
6649;Lon Chaney jr.;2;0
6650;Perry King;0;2
6651;Matthew McClain;1;0
6652;Kimberly Kevon Williams;1;0
6653;Vin Diesel;2;1
6654;Marie Matheron;0;3
6655;Hilda Bernard;0;1
6656;Melanie Gerren;1;0
6657;Manu Payet;2;0
6658;Thomas Drewson;1;0
6659;Chad Everett;3;0
6660;Amy Wright;0;1
6661;Pia Mia;0;1
6662;Elvia Allman;1;0
6663;Toshiyuki Nishida;1;1
6664;Gianluca Guidi;1;0
6665;Jared Sanford;1;0
6666;Biambu Garrett;1;0
6667;Bruno Podalydès;1;2
6668;Jocelyne Desverchère;1;0
6669;Barbara Fixx;0;3
6670;Jake Johnson;4;2
6671;Vicellous Reon Shannon;0;2
6672;Jean-Pierre Malo;1;0
6673;Gary Bart;0;3
6674;Vincent Heneine;0;1
6675;Beth Grant;2;3
6676;Chyna Terrelonge-Vaughan;0;2
6677;Ted De Corsia;1;0
6678;Brady Jenness;1;0
6679;Lyubov Sokolova;0;2
6680;Rupak Ginn;1;0
6681;Fabio Fulco;3;1
6682;Josiane Stoléru;2;0
6683;Lilli Greco;1;0
6684;Adam Hendershott;1;1
6685;Jack Perry;1;0
6686;Pascal Petit;0;1
6687;François Clavier;1;0
6688;Steven Bisley;0;1
6689;Chen Bo-lin;0;1
6690;Roland Young;3;0
6691;Vivien Leigh;1;2
6692;Alexandre Perrier;1;0
6693;Anita Lindblom;0;1
6694;Sebastian Hülk;0;4
6695;Dal-su Oh;1;0
6696;Jennifer Barker;0;1
6697;Mollie Milligan;0;2
6698;Katia Corriveau;1;0
6699;Guglielmo Spoletini;1;0
6700;Alice Braga;1;3
6701;Ines Nobili;2;0
6702;Estella Warren;1;0
6703;Louis Mandylor;1;1
6704;Peter Ferdinando;1;1
6705;Wilmer Valderrama;2;0
6706;Eric Dane;1;1
6707;Alexander Seibt;1;0
6708;Macy Gray;0;1
6709;Leslie Easterbrook;1;0
6710;Manuel Viescas;0;1
6711;Michel Fabre;0;1
6712;Vito;1;1
6713;Alessandro Grinfan;0;1
6714;Gianni Musy;1;2
6715;Eero Milonoff;0;1
6716;Mario Frera;1;1
6717;Doru Boguta;0;2
6718;Gaby Hoffmann;3;5
6719;Raf Luca;4;0
6720;Ahmad Morhaf Al Ali;0;1
6721;Stepan Shkurat;0;1
6722;Franco Ravera;2;0
6723;Ariana Greenblatt;1;0
6724;Alex Reznik;0;1
6725;Steven Littles;0;1
6726;Laurent Fernandez;0;2
6727;Beryl Cunningham;0;1
6728;Mirella Pardi;0;1
6729;Dora Doll;1;1
6730;Ike Barinholtz;4;0
6731;Lekh Tandon;0;1
6732;Susan Whitney;0;3
6733;Esben Smed Jensen;1;0
6734;Miranda Richardson;2;3
6735;David Kelly;2;0
6736;Joe Dolinsky;1;0
6737;Sylvie Verheyde;0;1
6738;Haruo Tanaka;0;1
6739;Eiros;1;0
6740;Ari Graynor;10;0
6741;Briga;0;1
6742;Leslie Lyles;0;3
6743;Elani Dekker;0;2
6744;Carmen Scivittaro;1;0
6745;Edna Dore;0;2
6746;Else Heller;0;2
6747;Herma Vos;0;1
6748;Hilda Abrahamz;0;1
6749;Shelley Berman;1;0
6750;Kim Wayans;1;0
6751;Gil Bellows;1;3
6752;Sandra Monteleoni;0;1
6753;Sam J. Jones;3;0
6754;Viara Borisova;0;2
6755;Arell Blanton;1;0
6756;Anna Zhurakovskaya;0;1
6757;Chiara Salerno;1;0
6758;Dean Redman;0;3
6759;Dino Curcio;1;0
6760;Patrick Fabian;0;1
6761;Lena Nyman;0;1
6762;Kristy Robinson;0;1
6763;Leslie Jones;2;0
6764;Mathilde Goffart;0;1
6765;Paul McGillion;0;1
6766;Roger Van Hool;0;1
6767;Amanda Peet;7;1
6768;Dan Gordon;0;1
6769;Giuseppe Porelli;3;0
6770;Alison Sealy-Smith;1;0
6771;Rosaria D'Urso;4;0
6772;Michele Maganza;1;0
6773;Alfred Lunt;1;0
6774;Ashley Olsen;8;0
6775;lkbal Harbaoui;0;1
6776;Gioia Spaziani;0;3
6777;Nicholas Pinnock;0;1
6778;Bruno Bruni Jr.;1;0
6779;Soundos El Ahmadi;1;0
6780;Judy Clement;1;0
6781;Roberto Ciufoli;2;0
6782;Cyril Descours;0;2
6783;Franziska Troegner;0;1
6784;Blake Ritson;1;0
6785;Mark Adam;0;1
6786;Clio Goldsmith;2;0
6787;Shahana Goswami;0;2
6788;Ron Perlman;4;4
6789;Anna Julia Kapfelsperger;1;0
6790;Fabrizio Temperini;1;2
6791;Anna Rust;0;1
6792;Lauri Pedaja;0;1
6793;Antonio Gil;1;1
6794;Sandrine Battistella;0;3
6795;Dennisha Pratt;0;1
6796;Solal Forte;0;1
6797;Kim Yejin;0;1
6798;Shirley Bousquet;2;0
6799;Natalie Shaw;1;0
6800;Steffi Kühnert;0;1
6801;Tanay Chheda;1;0
6802;Louis Dempsey;1;0
6803;Stuart Lancaster;1;0
6804;Thomas Blanchard;2;2
6805;Florence Bates;1;0
6806;Lee Bowman;0;2
6807;Nicholas Orzella;0;2
6808;Vera Carmi;5;6
6809;Luis Fernando Peña;0;1
6810;Akira Nakao;1;0
6811;Zenobia Shroff;1;0
6812;Stephen Mendillo;0;1
6813;Nino Crisman;1;0
6814;Josephine Langford;1;1
6815;Chika Arakawa;0;1
6816;Marco Paparoni;0;1
6817;Tuesday Weld;4;8
6818;Peter Sullivan;0;2
6819;Saoirse Ronan;4;4
6820;Jamie Campbell Bower;1;1
6821;Benedikt Benediktson;0;1
6822;RuPaul;1;0
6823;Connie Stevens;2;3
6824;Michael Harris;1;0
6825;Romina Power;3;0
6826;Piero Faggioni;0;1
6827;Cora Miao;1;0
6828;Marie Sophie L.;1;0
6829;Enrico Beruschi;1;0
6830;Lu Parker;0;2
6831;Christina Brucato;1;0
6832;Kurt Kasznar;0;1
6833;Leïla Denio;1;0
6834;Jaimie Alexander;1;0
6835;Yves Jacques;1;2
6836;Michela Quattrociocche;4;0
6837;Eugenia Costantini;2;2
6838;Mae Marsh;0;1
6839;Ferencz Gejza;0;1
6840;Lane Garrison;0;1
6841;Pascal Rivet;0;1
6842;Samuel Viyuela;0;2
6843;Martina Gusman;0;2
6844;Giovanni Grasso;3;1
6845;Sadaf Asgari;0;1
6846;Jane Powell;1;0
6847;Daniel Genoud;0;2
6848;Dobi Kore;0;1
6849;Robert Lee Rush;0;1
6850;Ulf Palme;2;0
6851;Willie Nelson;4;2
6852;Nando Morra;1;0
6853;Annabella Sciorra;6;4
6854;Thomas Heathcote;0;1
6855;Eleonora Rossi Drago;4;6
6856;Claudia Pozzi;1;1
6857;Guillaume Faure;0;1
6858;Nina Foch;1;0
6859;Denis Lavant;1;7
6860;Robert Mitchum;6;11
6861;Bajrush Mjaku;0;2
6862;Pino Luongo;1;0
6863;Rosemarie DeWitt;3;8
6864;Masahiko Shimada;0;1
6865;Adam Nelson;1;1
6866;Liu Peiqi;0;1
6867;Debra Messing;7;0
6868;Nikola Djuricko;0;1
6869;Ezequiel Díaz;0;1
6870;Seth Gilliam;0;1
6871;Tom Bergeron;1;0
6872;Roberto Lipari;2;0
6873;Angela Troina;1;0
6874;Candace Smith;0;2
6875;Don Steele;1;0
6876;Daniel Ivernel;1;1
6877;Fabrice Luchini;14;1
6878;Carolin Fink;0;1
6879;Henry Kolker;0;2
6880;Trevante Rhodes;0;2
6881;Nadies;1;0
6882;Will Adamsdale;1;0
6883;Eiji Nakano;0;1
6884;Joe Urban;1;1
6885;Nancy Marchand;1;1
6886;Tyronne L'Hirondelle;1;0
6887;Leïla Bekhti;2;1
6888;Sierra Aylina McClain;1;0
6889;Dick Purcell;1;0
6890;Dragan Bjelogrlic;1;0
6891;Flex Alexander;1;0
6892;Jana Pallaske;3;2
6893;Finn Carter;1;0
6894;Pyotr Sobolevsky;0;1
6895;Diego Buongiorno;1;0
6896;Jonathan Jackson;1;0
6897;Bjørn Sundquist;3;0
6898;Matt Butcher;1;0
6899;Oliviero Scardicchio;1;0
6900;Don McKellar;1;1
6901;Paul Mantee;0;2
6902;Sergio Zecca;1;0
6903;Sophie McShera;0;2
6904;Ellen Horn;1;0
6905;Alina Foley;1;0
6906;Rosie Cavaliero;1;0
6907;Marie Wilson;2;0
6908;Dat Phan;1;0
6909;Andrea Duro;1;1
6910;Jack McGee;1;6
6911;Isabella Mottinelli;1;0
6912;Lucas Grabeel;4;0
6913;Kathy Connelly;0;1
6914;Margarita Broich;0;2
6915;Meghan Markle;0;1
6916;Graham Chapman;1;0
6917;Minor Watson;1;1
6918;Bobby Gillespie;0;2
6919;Michael Paré;0;1
6920;Michelle Krusiec;1;0
6921;Carlo Buccirosso;16;1
6922;Robert Emms;0;2
6923;Julito McCullum;0;1
6924;Achille Ridolfi;0;4
6925;Mehdi Dehbi;0;3
6926;Haji;0;1
6927;Vanessa Aspillaga;1;2
6928;Anita Kelli;1;0
6929;Myriam Allain;0;2
6930;Pierre Deladonchamps;0;2
6931;Hitoshi Matsumoto;1;0
6932;Georges Mansart;1;0
6933;Peter Van den Begin;1;3
6934;Igor Chistol;1;0
6935;Daniel H. Jenkins;1;0
6936;Jessica Stroup;1;1
6937;Hope Katende;0;2
6938;Lucian Teodor Rus;0;1
6939;Antonella Fattori;0;1
6940;Nilla Pizzi;3;0
6941;Kathleen Ryan;0;2
6942;Nelly Panizza;1;0
6943;Deepti Daryanani;1;0
6944;Kene Holliday;1;0
6945;Miyoko Asada;0;1
6946;Odette Lara;0;3
6947;Joan Collins;6;3
6948;Jean-Pierre Darroussin;8;4
6949;Steve-O;3;0
6950;Nagore Aramburu;0;1
6951;Vinnie Jones;4;0
6952;Simone Faucci;1;0
6953;Ichirô Sugai;0;4
6954;Hella Petri;0;1
6955;James Lance Bass;1;0
6956;Max Gazzè;1;1
6957;Nancy Dupláa;1;0
6958;Evgeniy Tsiganov;0;1
6959;Piotr Machalica;0;2
6960;Yousef Sweid;0;1
6961;Luís Otávio Madureira Horta;1;0
6962;Shelley Fabares;2;0
6963;Shoji Murakami;0;1
6964;Luke Barnett;1;0
6965;Margaret Tyzack;0;1
6966;Catherine Zeta-Jones;7;1
6967;Gábor Kun;0;1
6968;Petra Zieser;1;2
6969;Irina Petrescu;0;1
6970;Keiko Oginome;0;1
6971;Christopher Gorham;0;3
6972;Motoki Fukami;1;0
6973;Guri Alfi;0;1
6974;Dickie Beau;0;3
6975;Emilio Petacci;0;2
6976;Igor Chernevich;0;1
6977;Bill Emmott;1;0
6978;Antonello Fassari;8;1
6979;Eulalia Ramon;0;1
6980;Adam Ild Rohweder;0;2
6981;Alex Black;1;0
6982;Bruno Di Giovanni;0;1
6983;Eun-Kyung Shin;0;1
6984;Lingyu Ruan;0;1
6985;Hinako Saeki;0;1
6986;Sydne Rome;5;2
6987;Marilou Mermans;1;0
6988;Alessandro Sardelli;0;1
6989;Karen Morley;0;1
6990;Honor Kneafsey;0;1
6991;Timothy Spall;7;7
6992;Vivien Oakland;1;0
6993;William Russ;0;3
6994;Chani Martín;1;0
6995;Jeanine Jackson;1;0
6996;Johnny Huang;1;0
6997;Tuc Watkins;1;0
6998;Mike Houston;1;0
6999;Emilie Caen;2;0
7000;Susana Werner;1;0
7001;Danny Masterson;1;0
7002;Walter Lippa;0;1
7003;Jonathan Watton;0;1
7004;Kia Pegg;1;0
7005;Alan Heaps;0;2
7006;Dimitrij Chebeschesku;0;2
7007;Federico Baccomo;1;0
7008;Simone Ascani;0;1
7009;Maria Antoulinaki;1;0
7010;Carol Wolveridge;0;1
7011;Giuliana Rivera;0;1
7012;Deborah Hedwall;1;0
7013;Franco Colomba;1;0
7014;Zan Marolt;0;2
7015;Kuranosuke Sasaki;0;2
7016;Arturo Castro;0;2
7017;Teresa Saponangelo;3;7
7018;Vivienne Osborne;0;1
7019;Gaston Modot;0;1
7020;Daniel Evans;1;0
7021;Yoav Reuveni;0;2
7022;James Spader;3;3
7023;Eloise DeJoria;0;1
7024;Tom Guiry;2;1
7025;Narumi Kayashima;0;1
7026;Jessica Erickson;0;1
7027;Yaya Alafia;1;2
7028;Fakrul Hasan Boiragi;0;4
7029;Gianni Fantoni;2;0
7030;Emerald Fennell;0;1
7031;Charles Vanel;1;9
7032;Eva Siva;1;0
7033;Kim Poirier;1;0
7034;Haruka Unabara;1;0
7035;Hugo Piccinini;1;0
7036;Sandro Giordano;1;1
7037;Nan Hamilton;0;1
7038;Veronica D'Agostino;0;2
7039;Donald McCann;0;1
7040;Steve Tom;1;0
7041;Manuela de Freitas;2;0
7042;Avery Knight;1;0
7043;Stefania Sabatini;0;1
7044;John Simm;1;0
7045;Sarah-Jeanne Labrosse;0;1
7046;Dylan Brown;0;1
7047;Monica Evans;1;0
7048;Peter Fitz;0;3
7049;Don Alphonso;0;2
7050;Jenny Runacre;1;0
7051;Alisha McKinney;1;0
7052;Colin Prockter;1;0
7053;Daniela Piperno;2;1
7054;Martin Stephens;1;1
7055;Marta Yaneva;0;1
7056;Keiko Mori;0;1
7057;Marilu Henner;1;0
7058;John McInerny;1;0
7059;Venus Terzo;1;0
7060;Patricia Pearcy;0;2
7061;Antonella D'Arcangelo;0;1
7062;Bodil Rosing;0;2
7063;Raul Casadei;1;0
7064;Vas Saranga;1;0
7065;Noomane Hamda;0;1
7066;Stephanie Beatriz;1;0
7067;Rick Springfield;0;1
7068;Haru Kuroki;0;1
7069;Kresimir Mikic;1;1
7070;Ing-Marie Carlsson;0;2
7071;Lauren Bacall;6;9
7072;Amandla Stenberg;0;3
7073;Ian Colletti;0;3
7074;Dascha Polanco;1;1
7075;Delaney Driscoll;1;0
7076;Martin Milner;0;1
7077;Gabriel Mann;1;1
7078;Glenn Saxon;1;0
7079;Cliff Chamberlain;0;1
7080;Manna Fujiwara;0;1
7081;Christophe Paou;0;1
7082;Giacomo Pozzetto;1;0
7083;Marie-France;0;1
7084;Anna Moore;0;3
7085;Tim Woodward;0;3
7086;Grayson Berry;1;0
7087;Rafael Cardoso;0;1
7088;Amphaiphun Phommapunya;0;2
7089;Gloria Milland;1;2
7090;Hans Albers;0;1
7091;Umberto Pesce;1;0
7092;Izol'da Uzvickaja;0;1
7093;Jane Ashbourne;1;0
7094;Serena Grandi;9;3
7095;Odera Olivia Orji;0;1
7096;Emily Perkins;1;0
7097;Ertem Eser;0;1
7098;John Arocho;1;0
7099;Ricardo Casella;0;1
7100;Rya Kihlstedt;1;0
7101;Nina Da Padova;1;0
7102;Aurora Quattrocchi;2;2
7103;Tina Castigliano;0;1
7104;Myra Molloy;1;0
7105;Nikolai Kryuchkov;1;0
7106;Dave Johns;0;1
7107;Zsolt Anger;0;1
7108;Laura Vivaldi;0;1
7109;Alessandro Bisegna;1;0
7110;Serge Larivière;1;4
7111;Manuela Gatti;0;1
7112;José Nieto;0;4
7113;Mimma Monticelli;1;2
7114;Jonathan Bertuccelli;0;1
7115;Tom Skerritt;5;7
7116;Katariina Unt;0;1
7117;Frédérique Tirmont;0;1
7118;Ryan Hansen;4;0
7119;Annmari Kastrup;0;1
7120;Lizzy Caplan;4;0
7121;Franca Maria Giardina;1;0
7122;Daniel Sikora;0;1
7123;Alberto Escobar;0;1
7124;Shafikul Islam;0;4
7125;Virgile Bramly;2;1
7126;Dan Montgomery Jr.;2;0
7127;Joyce R. Korbin;1;0
7128;Myrna Loy;14;5
7129;Cameron Richardson;1;0
7130;Ash Santos;0;3
7131;Mukku Akazawa;0;1
7132;Ludgero Fortes Dos Santos;0;1
7133;Viktor Dénes;0;1
7134;Gabriele Merlonghi;0;2
7135;Jean Michel Dupuis;1;0
7136;Tara Fitzgerald;2;0
7137;Lauren Collins;2;0
7138;Pierre-Luc Lafontaine;0;1
7139;Julia Artamonov;0;1
7140;Akuyoe Graham;0;3
7141;Alona Tal;1;0
7142;Maxime Mazzolini;0;1
7143;Jerrod Carmichael;3;0
7144;Egi Fedly;0;1
7145;Hamza Meziani;0;1
7146;John Henshaw;1;0
7147;Nilton Avani Rodrigues;0;1
7148;Jorge Petraglia;1;0
7149;Ashley Martin;1;0
7150;Celine Tanneberger;0;2
7151;Jessica Tandy;5;3
7152;Neil Innes;2;0
7153;Bruce Cabot;3;1
7154;Emily Meade;2;1
7155;Laura Tonke;0;1
7156;Malisa Longo;4;0
7157;Michele Foresta;1;0
7158;Lynn Shelton;2;0
7159;Akim Tamiroff;5;3
7160;Jimmy Durante;3;0
7161;Screamin' Jay;1;0
7162;Jerry Nelson;1;0
7163;Christian Serritiello;0;1
7164;Dea Panendra;0;1
7165;Wil Shriner;1;0
7166;Emma Lo Bianco;0;2
7167;Rossella Brescia;1;0
7168;Samm Levine;3;0
7169;Louka Minnella;0;1
7170;Ernie Hudson;6;0
7171;Osama Awad;0;1
7172;Alex Hassell;1;0
7173;Bastien d'Asnières;0;1
7174;Patrick McDermott;0;1
7175;Mervyn Johns;1;2
7176;Alesha Dixon;1;0
7177;Brigitte Catillon;2;1
7178;Brian Burnett;1;0
7179;Daniele Vicorito;0;2
7180;William F. Bryant;1;0
7181;Scott Graham;0;1
7182;Antonia Pemberton;0;1
7183;Sho Aikawa;0;3
7184;Minnie Driver;5;5
7185;Robin Lermitte;0;1
7186;Valerio Sulmoni;1;0
7187;Mausi Martínez;0;1
7188;Raymond Pellegrin;2;7
7189;Rodolfo Bigotti;1;0
7190;Ran Buxenbaum;0;1
7191;Elise Neal;1;0
7192;Sidney Morgan;0;1
7193;Leonardo Brzezicki;1;0
7194;Sophie Nyweide;1;1
7195;Ciro Villano;2;0
7196;Yukiko Ibuki;1;0
7197;Eva Morrow;0;1
7198;Antoine Reinartz;1;1
7199;Faith Minton;1;0
7200;Melody Anderson;1;0
7201;Annie Jones;1;0
7202;Tina Irissari;0;1
7203;Ignazio Ernandes;1;0
7204;Barbara Wussow;0;1
7205;Burt Ward;1;0
7206;Wilfried Hochholdinger;1;0
7207;Lucia Loffredo;1;0
7208;Amber Heard;3;3
7209;Maria Serban;0;1
7210;Paola Lavini;4;5
7211;Mimi Rogers;6;5
7212;Ida Elise Broch;1;0
7213;Anna Proclemer;2;1
7214;Archduke Leopold of Austria;0;1
7215;Akbar Kurtha;1;0
7216;Dolores Heredia;0;2
7217;Davide Todde;0;1
7218;Guido Alberti;2;3
